"","run_number","site","date","lc","species","subsample","mass_mg","percent_N","percent_C","NC_ratio","soil_run","soil_mass","soil_N","soil_C","soil_NC","n_cores","rock_bottom","organic","depth","d15N","d13CVPDB","x","y","Lat","Long"
"1","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Crowberry",1,2.434,0.612616398,59.13666792,0.010359332,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,6.517977332,-29.3673439,697873,5509371,49.70430912,-54.25562055
"2","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Crowberry",2,2.374,1.213122174,54.94984682,0.022076898,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-8.89128319,-27.23453642,697873,5509371,49.70430912,-54.25562055
"3","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Crowberry",3,2.254,0.908747662,58.56576771,0.015516704,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-9.99069309,-27.99340141,697873,5509371,49.70430912,-54.25562055
"4","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Crowberry",4,2.346,1.07289516,56.90357673,0.018854617,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-9.241928001,-27.1116951,697873,5509371,49.70430912,-54.25562055
"5","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Kalmia",1,2.17,1.276047625,55.66505371,0.022923675,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-10.01673168,-31.39638569,697873,5509371,49.70430912,-54.25562055
"6","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Kalmia",2,2.216,0.98684265,56.82203241,0.017367254,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-7.488435149,-30.78854073,697873,5509371,49.70430912,-54.25562055
"7","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Kalmia",3,2.298,1.134610486,57.4874608,0.01973666,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-11.88441229,-29.9980346,697873,5509371,49.70430912,-54.25562055
"8","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Kalmia",4,2.203,0.97985899,55.59301346,0.017625578,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-9.450806204,-29.97948768,697873,5509371,49.70430912,-54.25562055
"9","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Lingonberry",1,2.139,0.632363327,56.05025492,0.011282078,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-10.95572056,-30.48614115,697873,5509371,49.70430912,-54.25562055
"10","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Lingonberry",2,2.407,0.571756058,56.0079442,0.010208481,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-8.193634343,-30.1833274,697873,5509371,49.70430912,-54.25562055
"11","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Lingonberry",3,2.095,0.528542397,53.41587766,0.009894856,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-5.858543422,-29.9181646,697873,5509371,49.70430912,-54.25562055
"12","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Lingonberry",4,2.374,0.725402715,54.76340702,0.013246121,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,-11.7170089,-30.99716839,697873,5509371,49.70430912,-54.25562055
"13","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Moss",1,2.526,0.557460073,47.75913846,0.011672323,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,12.54165401,-30.45546521,697873,5509371,49.70430912,-54.25562055
"14","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Moss",2,2.437,0.481255741,47.35949912,0.010161757,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,10.93092378,-31.12946741,697873,5509371,49.70430912,-54.25562055
"15","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Moss",3,2.342,0.429838411,47.31821759,0.009083994,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,16.84941508,-31.76129338,697873,5509371,49.70430912,-54.25562055
"16","Dara","Broadleaf.1.1",2022-06-13,"Broadleaf","Moss",4,2.22,0.436498014,47.47994774,0.009193313,11,5.567,0.63,42.77,0.014729951,"3","yes",NA,7,13.96833295,-30.95116511,697873,5509371,49.70430912,-54.25562055
"17","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Crowberry",1,2.531,1.023036256,55.81005601,0.01833068,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-7.60355981,-28.65221511,697873,5509371,49.70430912,-54.25562055
"18","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Crowberry",2,2.288,0.963298595,57.27204141,0.016819701,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-7.920562664,-29.29756938,697873,5509371,49.70430912,-54.25562055
"19","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Crowberry",3,2.043,1.017256508,55.81439154,0.018225703,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-6.369865404,-28.69052522,697873,5509371,49.70430912,-54.25562055
"20","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Kalmia",1,2.434,1.049758081,53.64486895,0.019568658,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-9.703219102,-29.79577116,697873,5509371,49.70430912,-54.25562055
"21","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Kalmia",2,2.258,1.185935332,62.20272714,0.019065649,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-7.744759014,-30.57258044,697873,5509371,49.70430912,-54.25562055
"22","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Kalmia",3,2.442,1.208332795,52.74403793,0.022909372,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-9.117926528,-30.03513105,697873,5509371,49.70430912,-54.25562055
"23","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Kalmia",4,2.143,0.853978833,57.81464933,0.014770977,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-9.354707758,-29.97405352,697873,5509371,49.70430912,-54.25562055
"24","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Lingonberry",1,2.323,0.731195359,56.24080987,0.013001153,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-9.160039869,-29.28866612,697873,5509371,49.70430912,-54.25562055
"25","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Lingonberry",2,2.371,0.728758698,54.49382329,0.013373235,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-10.66034452,-29.85158454,697873,5509371,49.70430912,-54.25562055
"26","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Lingonberry",3,2.121,0.522864402,55.7118583,0.009385155,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-12.41025509,-30.13797368,697873,5509371,49.70430912,-54.25562055
"27","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Lingonberry",4,2.279,0.589285948,55.79802517,0.010561054,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,-10.37387496,-29.4087662,697873,5509371,49.70430912,-54.25562055
"28","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Moss",1,2.021,0.590216193,47.81273814,0.012344329,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,4.517000916,-32.06695373,697873,5509371,49.70430912,-54.25562055
"29","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Moss",2,2.423,0.483503492,46.68982855,0.010355649,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,13.35590441,-32.15983753,697873,5509371,49.70430912,-54.25562055
"30","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Moss",3,2.024,0.399002514,47.05905163,0.008478762,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,19.41426954,-30.49247617,697873,5509371,49.70430912,-54.25562055
"31","Dara","Broadleaf.1.2",2022-06-13,"Broadleaf","Moss",4,2.443,0.449257661,47.004309,0.009557797,11,5.058,0.78,50.04,0.01558753,"3","yes",NA,10,11.13492223,-31.19050681,697873,5509371,49.70430912,-54.25562055
